name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Courtyard,"By Uds G V Raja Road Samudra Beach Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Chinese,http://www.uds.co.in/dining.html,#32 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Nikki's Nest,"Azhimala Temple Road Vizhijham, Thiruvananthapuram (Trivandrum) 695501 India",Chinese,http://Www.nikkisnest.com,#84 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Longtime,"Jawahar Nagar Road Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Asian,,#57 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Curry Chatty,"Near Police Training College, Thycaud, Thiruvananthapuram (Trivandrum) 695014 India",Indian,http://currychatty.com,#35 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Supreme All Spice,"Musaliar Buildings Kuravankonam, Thiruvananthapuram (Trivandrum) India",Indian,http://www.supremeallspice.com,#27 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Salwa Dine,"Sasthamangalam Road, Thiruvananthapuram (Trivandrum) 695010 India",Indian,http://web.facebook.com/pages/Salwa-Dine-Restaurant-Vellayambalam/147579025316327,#99 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sree Nandhaas,"Fort Road, Kaithamukku Trivandrum, Thiruvananthapuram (Trivandrum) 695024 India",Indian,http://www.sreenandhaas.com,#61 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Ovenly,"Udharashiromani road Near Kerala Police Head Quarters, vellayambalam, Thiruvananthapuram (Trivandrum) 695010 India",French,http://www.ovenlybyhemaedwin.com,#96 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Curries,"G. V. Raja Vattappara Road Taj Green Cove Resort & Spa Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Indian,http://www.tajhotels.com,#58 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Atelier by Ambrosia,"Pattom - Marappalam Road Ground Floor , Koluthara Tower, Thiruvananthapuram (Trivandrum) 695004 India",Italian,https://www.facebook.com/dineatatelier/,#90 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Kerala House Restaurant,"Ground Floor, Karimpanal Statue Avenue, Statue General Hospital Road Statue, Palayam, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#68 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
