name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Khao,"Chilly Pepper Kitchens, Kalanilayam Building, Mudavanmugal Road, Poojappura, Thiruvananthapuram (Trivandrum) 695012 India",,https://www.chillipepper.kitchen/,,
Dessi Cuppa Pozhiyoor,"Pozhiyoor Near Sakaria Center, Thiruvananthapuram (Trivandrum) 695513 India",,,,
Cafe Hut,"Sydney Lane, Opposite Royal Oak Furniture, Thiruvananthapuram (Trivandrum) 695004 India",American,,,
Lara Backwater Restaurant,"Poovar Post, Isola Beach Resort Road Poovar, Thiruvananthapuram (Trivandrum) 695513 India",Indian,https://www.facebook.com/LaraBackwaters/,,
Charley's Cafe,"Chithira Nagar, Kulathoor,, Thiruvananthapuram (Trivandrum) 695583 India",,,,
Lahamrestaurant_,"M.s Avenue Ground Floor Kallumoodu Junction, Muttathara, Manacaud P.o Trivandrum, Kerala, Thiruvananthapuram (Trivandrum) 695009 India",,,,
Puja Samudra,"Vp/1523 G V Raja Road, Thiruvananthapuram (Trivandrum) 695527 India",Chinese,,#149 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Purple Circuit,"Nh Bypass Service Rd, Opp Infosys Hotel Flamingo Inn, Thiruvananthapuram (Trivandrum) 695583 India",Chinese,http://www.flamingoinnhotel.com,,
Kochannan Sahib's Hotel,"Kanyakumari Highway, Thiruvananthapuram (Trivandrum) 695002 India",,,#381 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Bismi Restaurant,"Kuthukallumoodu Manacaud, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,,
Mango Tree Restaurant,"Near Marian Engineering College, Menamkulam , Kazhakuttom, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Chembavu Restaurant,"Opp Mahadeva Temple, Kazhakkuttom, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Ente Mill Store - Tvpm,"Kattu Rd, Kesari Nagar, Poojapura, Thiruvananthapuram, Kerala 695012nn, Thiruvananthapuram (Trivandrum) 695012 India",,,,
Hotel New Aryaas Restaurant,"Dubai Residency Building Opposite Petrol Pump, Pothencode, Thiruvananthapuram (Trivandrum) 695584 India",Indian,,,
Janatha Flour Rice & Oil Mill,"Kattu Rd, Poojappura Trivandrm, Thiruvananthapuram (Trivandrum) 695012 India",,,,
The Fuel Station,"Near To Varma Travels Fuel Centre Padmavilasom Road Fort Po, Thiruvananthapuram (Trivandrum) 695023 India",,http://www.thefuelstation.com,,
Makh Biz,"Ss Plaza, Kazhakootam, Pallinada, Thiruvananthapuram (Trivandrum) 685 582 India",,,,
Kathi Nation,"Sf 13,tc 86/2169118,mall Of Travancore, Thiruvananthapuram (Trivandrum) 695024 India",,https://www.kathination.com/,,
Dhe Kozhikodan,"Thejaswini Building, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Maitry Supermarket,"Near Mg College, Kesavadasapuram, Thiruvananthapuram (Trivandrum) 695004 India",,http://www.morestore.com/,,
I Wont Diet,"Thejaswani Building, Technopark, Thiruvananthapuram (Trivandrum) 695582 India",,http://iwontdiet.com,,
Orion Multicuisine Restaurant,"Paruthipara, Nalanchira, Thiruvananthapuram, Kl, India, Thiruvananthapuram (Trivandrum) 695015 India",,http://orionhyper.com,,
Suguna Daily Fressh Ambalamukku,"Survey School Road Ambalamukku, Thiruvananthapuram (Trivandrum) 695005 India",,,,
Bake N Roll,"Thirumala Junctionn, Thiruvananthapuram (Trivandrum) 695006 India",,,,
Bee Hut,"Bee Hut, Eenchakkal, Thiruvananthapuram (Trivandrum) India",,,,
Serafina Restaurant,"Erathiyal Arcade Near Technopark Maingate Kazhakoottam, Thiruvananthapuram (Trivandrum) 695581 India",,,,
Drunken Monkey,"Swazthya TC 100/4154-1(NH Service Road, opp. Toyota Service, Kulathoor, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Ganapathy Sweets & Bakers,"Mangattukadavu Thirumala Road, Thiruvananthapuram (Trivandrum) 695006 India",,,,
Peedika Foodies,"Rukhmini Arcade,vattiyoorkavum,trivandrum, Thiruvananthapuram (Trivandrum) 695013 India",,,,
Sweet Peppers,"Ground Floor, Gayatri Building, Technopark Campus, Kazhakkoottam, Thiruvananthapuram (Trivandrum) 695581 India",,,,
Bake A Wish,"123 Swathi Nagar A Lane, Thiruvananthapuram (Trivandrum) 695005 India",,,,
Hangover Cafe,"Kazhakkoottam, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Thaqwa Restaurant,"Near Airport,by-pass Road,enchakkal Jn., Thiruvananthapuram (Trivandrum) 695008 India",,,,
Alif Restaurant,"Kazhakuttom, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Efish Trivandrum,"Efish Trivandrum, Thiruvananthapuram (Trivandrum) 695009 India",,,,
Dreemgarden,"Dreemgarden Venjrsmoodu Kerala, Thiruvananthapuram (Trivandrum) India",,,,
"Chick World - Kazhakkootam, Chanthavila","Kazhakkootam, Chanthavila, Thiruvananthapuram (Trivandrum) 695585 India",,,,
To Eat,"Vip Junction, Nedumangad, Thiruvananthapuram (Trivandrum) India",,http://www.toeat.co.in/,,
Shamna Provision Stores,"Vettikonam, Thiruvananthapuram (Trivandrum) 695564 India",,,,
Kr Bakes Kazhakoottam,"TC 1/4482, Ambalathinkara, Kazhakkoottam, Thiruvananthapuram (Trivandrum) 695582 India",,http://krbakes.com/,,
Juice Cafe,"Juice Cafe, Puthiyathura, Thiruvananthapuram (Trivandrum) 695526 India",,,,
Baked Kazhakkoottam,"Baked,  Nh 66, Opposite Thakkaaram Restaurant, Kazhakkoottam, Kerala 695582, Thiruvananthapuram (Trivandrum) 695582 India",,http://www.getitbaked.in/,,
Organic Bazaar,"A12, Annapoorna, Near Jawahar Nagar L.p School, Kowdiar P.o, Thiruvanathapuram, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.organic-bazaar.in,,
Ram sundar,"Pippinmood road, Thiruvananthapuram (Trivandrum) India",Indian,,,
J.j Mart Margin Free Supermarket,"Poovar Vizhinjam Road Mukkola,vizhinjam, Thiruvananthapuram (Trivandrum) 695521 India",,https://www.jjmart.co.in,,
Bake Land,"11/1453 Amc Main Road, Thiruvananthapuram (Trivandrum) 695020 India",Indian,,,
Madras Tiffin Centre,"Madras Tiffin Center, Thiruvananthapuram (Trivandrum) 695003 India",Indian,,,
Dingan Kitchen,"Poojappura, Thiruvananthapuram (Trivandrum) 695012 India",Chinese,,,
Hotel Anand Restaurant,"Srerkaryam Jn Srerkaryam, Thiruvananthapuram (Trivandrum) 695017 India",Indian,,,
Toi & Moi Cafe Bistro,"Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010 India",,,,
Falooda Factory,"Near Power Gym, Vellayambalam, Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010t India",,,,
Abhirami Coffee House,"Vetturoad Kazhakuttam, Thiruvananthapuram (Trivandrum) 695584 India",Indian,,,
Nilgiris Vazhutacaud,"Nikunjam Royale ,tc 15 / 1453 , Air Road, Vazhuthacaud, Thiruvananthapuram, Kerala-, Thiruvananthapuram (Trivandrum) 695014 India",,,,
High range restaurant and sea food corner,"Pazhavangadi, Thiruvananthapuram (Trivandrum) India",Indian,,,
Lilacgarden Fusion Restaurant,"52 Bypass Road, Thiruvananthapuram (Trivandrum) 695583 India",Chinese,,,
Cafeccino,"80, Ullor Gardens, Ullor Junction, Thiruvananthapuram (Trivandrum) 695004 India",,,,
Break Time Cafeteria-thirumala,"Thirumala, Thiruvananthapuram (Trivandrum) 695006 India",,,,
Up North,"Akkulam Cet Road, Thiruvananthapuram (Trivandrum) 695017 India",Indian,,,
Mahadeva Restaurant,"Nh-47, Thiruvananthapuram (Trivandrum) 695582 India",Indian,http://www.devagroup.co.in,,
Indian Terrain,"Ground Floor Mall Of Travancore Gf 18a , Tc 86/216972chakka Bypass, Eanchakkal, Thiruvananthapuram (Trivandrum) 695024 India",Indian,,,
Kabab Restaurant,"Near Kv Schol, Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Middle Eastern,http://www.gmail.com/kababtvm,,
Biryani Paradise,"Alinmoodu Junction, Thirumala, Thiruvananthapuram (Trivandrum) 695006 India",,,,
Gurkha Grill Restaurant,"1st Floor Aditya Apartment, Opp Kowdiar Palace , Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Sammara Cakes And Bakes,"12 Golf Link Road, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Bigway Restaurant,"Cyber Square, Nh Bypass, Near Toyoto Trust, Attinkuzhi,kazhakuttam, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,http://www.bigwayrestaurant.com,,
Krishna Restaurant Poojappura,"Poojappura, Kesavan Nair Road, Thiruvananthapuram (Trivandrum) 695012 India",Indian,,,
Zeytin Restaurant,"Valley Green Building, Jawahar Nagar, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Delhi Darbar,"Venpalavattam, Thiruvananthapuram (Trivandrum) 695040 India",Indian,,,
Debake,"Tc:22/3036,opp R.k.d Nss School,shankar Road,sasthamagalam, Thiruvananthapuram (Trivandrum) 695010 India",,http://www.debake.in,,
4 Season Supermart,"1 Sasthamangalam Peroorkada Road, Thiruvananthapuram (Trivandrum) 695010 India",,https://4seasonsupermart.com/,,
New Orchard Supermarket,"St. Andrews, Thiruvananthapuram (Trivandrum) 695586 India",,,,
Kismath,"Near Technopark, Thiruvananthapuram (Trivandrum) 695581 India",Indian,http://www.kismath.in,,
An Restaurant  Tvm,"Ambalathinkara,kazhakoottam,tvm-695581 Near Green Field Stadium,oppo.honda Showroom, Thiruvananthapuram (Trivandrum) 695581 India",,,,
Arabian Hut,"Near Sbi, M.c Road, Vembayam, Thiruvananthapuram (Trivandrum) 695615 India",,,,
Chaappi,"Keston Road, Kanaka Nagar, Nanthancodu, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Hotel Ariya Bhavan Restaurant,"Poojapura Opposite Poojapura Post Office, Thiruvananthapuram (Trivandrum) 695012 India",Indian,,,
Barozz Cafe,"Barozz Cafe, Akshara Towers, Thirumala, Thiruvananthapuram, Kerala, Thiruvananthapuram (Trivandrum) 695006 India",,https://www.swiggy.com/restaurants/barozz-cafe-thirumala-nareencheril-thiruvananthapuram-325218,,
Fathima Refreshment Zone,"Kowdiar Near Kowdiar Bus Stop, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Sharma,"Ss Kovilroad Behind Kaveri Tourist Home, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,,
The & Fish Reestaurant,"Bhavani Building, Technopark Campus Technopark, Thiruvananthapuram (Trivandrum) 695581 India",,,,
Saravana Bhavan,"Saravana Bhavan,ajantha Theatre Road,near Ajanta Theatre,eastfort,tvm Alummoodu Junction Neyyantinkara, Thiruvananthapuram (Trivandrum) 695012 India",,http://www.saravanabhavan.com/restaurants.php,,
Mezban Restaurant,"Near Motor Plaza Chavadimukku, Sreekariyam, Thiruvananthapuram (Trivandrum) 695017 India",Indian,,,
Chirag Inn restaurant,"M.G. Road Statue, Chirag Inn, Thiruvananthapuram (Trivandrum) 695001 India",,https://chiraginn.in/contact.php,,5.0
Curry King Ariyamma,"Curry King Ariyamma Restaurant 84/707, Pallinada, Stations Road Kazhakuttom Trivandrum Pallinada, Kazhakuttom, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Greenland Restaurant,"Karimpanal Arcade Fort P O Pazhavangadi, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,#359 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Bake Corner,"Alummodu Junction, Kaniyapuram Junction, Thiruvananthapuram (Trivandrum) 695301 India",Chinese,,,
Curry King Ariyamma,"84/707, Pallinada Kazhakuttom Station Road, Kazhakuttom, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,,,
Lighthouse,"Near Avaduthura Temple Vizhinjam-post Kovalam beach, Thiruvananthapuram (Trivandrum) 403176 India",Indian,,#304 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Frankztreat,"Gate No 4, The Sports Hub Karyavattom, Thiruvananthapuram (Trivandrum) 695581 India",,,#348 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Althaf Hotel Restaurant,"Mangalapuram Jn Mangalapuram, Thiruvananthapuram (Trivandrum) 695317 India",Indian,,,
Sreenivasa Tiffin Centre,"Manacaud Near Anjali Bakery, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#361 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Eat and Drink,"Tc 40/15081, Manacaud Manacaud Jn, Thiruvananthapuram (Trivandrum) 695009 India",,,#392 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Butter Fry,"Kovalam Palace Junction opp Raviz Hotel Opp Kovalam beach bus stand, Thiruvananthapuram (Trivandrum) 695527 India",,,#276 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Marvellous Donuts,"Marappalam Junction, Thiruvananthapuram (Trivandrum) 695004 India",,,#287 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Kimothi Albaani,"Pottakuzhi Junction, Pattom, Thiruvananthapuram (Trivandrum) India",,,,
Urban Grillz Pattom,"1st Floor, Crown Plaza, Near St Mary's School, Pattom, Trivandrum, Thiruvananthapuram (Trivandrum) 695004 India",,,,
Ali Express Fresh Juices,"Kuravankonam, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Ubcr Cafe And Resto,"Near To United Colors Of Benetton Shop, Kesavadasapuram, Thiruvananthapuram (Trivandrum) 695004 India",,,,
White Dammer,"White Dammer, Thiruvananthapuram (Trivandrum) India",,,,
Belly Partner,"Kumarapuram- Murinjapalam Road, Thiruvananthapuram (Trivandrum) 695011 India",,,,
The Joint,"Ginger, Thiruvananthapuram (Trivandrum) India",International,,#437 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Akshai Store,"Thamalam Road, Thiruvananthapuram (Trivandrum) 695012 India",,,,
Turkish Ottoman Shawarma,"Kuruvankonam Junction, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Achayan's Bake House,"Post Office Rd Opposite to Bethany College, Thiruvananthapuram (Trivandrum) 695015 India",,https://www.facebook.com/pages/category/Bakery/Achayans-Bake-House-312372225804049/,#372 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Scribbler'z Cafe,"Kariavattom Jn, Thiruvananthapuram (Trivandrum) 695581 India",,https://www.facebook.com/pages/category/Cafe/Scribblerz-cafe-110067237076364/,,
Marhaba Restaurant,"Marhaba Restaurant Near Nims Nano, Thiruvananthapuram (Trivandrum) India",Middle Eastern,,#421 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Streetfood Family Restaurant,"Kilimanoor Erattachira, Thiruvananthapuram (Trivandrum) 695601 India",Chinese,https://streetfood-familyrestaurant.business.site/,,
Vaishnava,"Indraprastha Hotel, Papanasam Beach Road Janardhanapuram, Varkala, Thiruvananthapuram (Trivandrum) 695141 India",,,#394 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Swagath Drive Inn,"Salem Kochi Highway, Thiruvananthapuram (Trivandrum) 695004 India",,,#393 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Cafe Shubangam,"Kuravankonam Ymr Rd, Ickramapuram, Kuravankonam,, Thiruvananthapuram (Trivandrum) 695003 India",Indian,,#419 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
"Vayalil Restaurant , The Eclectic Multicuisine","NH-bye pass,Eanchakkal, Eanchakkal, Thiruvananthapuram, Kerala 695008, Thiruvananthapuram (Trivandrum) 695008 India",,,#247 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Mps Stores,"Kalyan Hospital Road, Aryasala, Thiruvananthapuram (Trivandrum) 695009 India",,,,
St.michels Bread Store,"Near Traffic Signal Plamood, Pattom, Thiruvananthapuram (Trivandrum) 695033 India",,,,
Taste 'N' Joy,"Kallattumukku, Thiruvananthapuram (Trivandrum) 695009 India",,,#253 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Hotel Annapoorna,"SS Kovil Road, Thiruvananthapuram (Trivandrum) 695004 India",,https://www.facebook.com/hotelannapoornapattom/?rf=251525815007095,#306 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Killipalam Cafe,"Killipalam Junction, Thiruvananthapuram (Trivandrum) 695036 India",,,,
G G Restaurant,"Vattiyoorkavu Junction Vattiyoorkavu, Thiruvananthapuram (Trivandrum) 695013 India",,,#455 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.5
Greeno Juice Bar & Cafe,"Opp Arch Bishop House Pattom, Thiruvananthapuram (Trivandrum) 695004 India",,,,
Eggs & Co.,"Karamana, Thiruvananthapuram (Trivandrum) 695002 India",,,,
Ogeen Bakers,"#karamana Junction#karakkamandapam#npothencode Junction#n, Thiruvananthapuram (Trivandrum) 695002 India",,,,
Nut Land,"Opp. Narmada Shopping Complex, Toll Junction, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Hotel Saravana Restaurant,"Vattiyoorkavu Jn Vattiyoorkavu Po, Opposite Bus Stop, Thiruvananthapuram (Trivandrum) 695013 India",Fast Food,,#337 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Keventers,"104 Nh-66, Thiruvananthapuram (Trivandrum) 695001 India",,,,
Samurai Hanzo's,"Chilli Pepper Kitchens, Kalanilayam Building, Mudavanmugal Road, Poojappura, Thiruvananthapuram (Trivandrum) 695012 India",,,,
Thiruvananthapuram Corporation Karamana Public Market,"Kanyakumari Road, Thiruvananthapuram (Trivandrum) 695002 India",,,,
Ss Traders,"Gandhismarakam Muttappalam Chirayinkezhu, Thiruvananthapuram (Trivandrum) 695305 India",,,,
The Muffin House,"Mall Of Travancore, Thiruvananthapuram (Trivandrum) 695024 India",,,,
Mra Trivandrum,"Pothys Supermarket, Mahathma Gandhi Road, Vanchiyoor, Thiruvananthapuram (Trivandrum) 695001 India",,,,
Rajakumari Restaurant Kallambalam,"Main Road, Kallambalam, Thiruvananthapuram (Trivandrum) 695605 India",,http://rajakumarirestaurant.com/,,
Mele Tharavattil Bakers,"Kumarapuram, Opp.Devi Scans, Medical College, Thiruvananthapuram (Trivandrum) 695011 India",Indian,https://www.facebook.com/Mele-Tharavattil-Bakers-261983484306662/,#257 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Ammus Restaurant,"Ammus hotel sreekanteswaram fort p.o. Trivandrum Near arashummood sreemahaganapathy temple, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,,
Seemamula Junction,"Kattakada Ottasekharamangalam Road, Thiruvananthapuram (Trivandrum) 695572 India",,,,
La Kapital Kitchen,"Arappura Road, Vattiyoorkavu, Kerala, Thiruvananthapuram (Trivandrum) 695013 India",,,,
Moreish Multicuisine Takeaway,"Moreish Multicuisine Takeaway, Kannammoola, Medical College, Near Noahz Pets Ark, Thiruvananthapuram (Trivandrum) 695011 India",,,,
Cake World Kazhakuttam,"Moonu Mukku, Attingal, Kerala, Thiruvananthapuram (Trivandrum) 695103 India",,,,
Tasty Khazana Restaurant,"Pozhiyoor Junction, Thiruvananthapuram (Trivandrum) 695513 India",,,,
Saraswathy Fruits And Vegetables,"Mahila Mandapam Road, Thiruvananthapuram (Trivandrum) 695012 India",,,,
Biriyani Factory - Biriyani In Trivandrum,"Rasmi Nagar, Kuravankonam, Thiruvananthapuram (Trivandrum) 695044 India",,https://biriyanitvm.business.site/?utm_source=gmb&utm_medium=referral,,
